name,price
HP TPN-113 AMD A4-1200,599000
Lenovo Ideapad 320/330 AMD A9,2275000
Dell Latitude E Series Core i5,1190000
Advan Workmate Ryzen 5 3500U / i3-1215U,6199000
Lenovo V14 G5 Core i3-1315U,8369000
Asus E402Y 14 Inch,1500000
HP EliteBook 820 Core i5 Gen 5,1890000
Dell Latitude 7480 Core i7 Gen 7,2050000
HP 520,989000
Lenovo ThinkPad X220 Core i5,1540000
Advan Workmate Ryzen 5 3500U / i3-1215U,4910000
Axioo MyBook Hype 10 Celeron N4020,4579000
Advan Workmate Ryzen 5 3500U,6199000
Lenovo ThinkPad X240,1690000
Asus X441N Celeron N3350,1100000
Asus A42J Core i5 NVIDIA GeForce,1499000
Dell Latitude 3190 2-in-1 Pentium N5000 Touchscreen,1900000
Toshiba Satellite C40A Core i3-3110M,1350000
HP Core i3 14 Inch,2550000
Lenovo ThinkPad X260 Core i7,2090000
Advan Workmate Ultra Intel Ultra 5,8199000
Lenovo ThinkPad L380 Celeron 3965U,1600000
Lenovo Ideapad 110 Celeron N3060,1299000
Dell Latitude 7280 Core i5 Gen 6,2650000
Lenovo ThinkPad T490/T490s Core i5 Gen 8,3100000
Lenovo ThinkPad T470 Core i7 Gen 7,2390000
Dell Latitude E7450 Core i7,1990000
Dell Latitude 5300/3390 2-in-1 Core i5 Gen 8 Touchscreen,3090000
Lenovo ThinkPad Yoga 370 Touchscreen,3350000
Lenovo ThinkPad T460s Core i7 Gen 6 Touchscreen,2450000
Lenovo ThinkPad X1 Core i5 Gen 2,1490000
Asus X441S Celeron N3060,1299000
Laptop Core i5 Slim Series,1399000
Advan Soulmate Celeron N4020 14 Inch,2200000
HP Compaq 6910p Series,950000
Lenovo ThinkPad T495 Ryzen 7 3700U Touchscreen,3350000
Acer Aspire V5 Celeron 1019Y,1050000
Asus E203NAH Celeron N3350,1249000
Lenovo ThinkPad L480 Core i5 Gen 8,2600000
Lenovo IdeaPad Flex 10,699000
Advan Soulmate Laptop + Charger,2249000
HP Chromebook X360 G1 Celeron Touchscreen,1000000
Dell Latitude 3190 Pentium,1499000
Advan Evo-X Core i3 Gen 12 16 Inch Touchscreen,7999000
Dell Latitude E6420 Core i5,1750000
